# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: H:\UTFPR\8Periodo\logRec\LABALGO\vhdl\ex2.csv
# Generated on: Tue May 21 14:31:55 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
clk,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
led[9],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
led[8],Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
led[7],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
led[6],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
led[5],Output,PIN_E1,1,B1_N0,PIN_E1,,,,,
led[4],Output,PIN_F2,1,B1_N0,PIN_F2,,,,,
led[3],Output,PIN_H1,1,B1_N1,PIN_H1,,,,,
led[2],Output,PIN_J3,1,B1_N1,PIN_J3,,,,,
led[1],Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
led[0],Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
reverse,Input,PIN_H2,1,B1_N1,PIN_H2,,,,,
speed[2],Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
speed[1],Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
speed[0],Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
tail_size_control_minus,Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
tail_size_control_plus,Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
